aaaammjj,num_poste,pmerm,tsvm,brume,brou,fumee,etpgrille
20200315,75116008,,9.3,,,,2.8
20200716,75114007,,,,,,3.2
20221231,75107005,,,,,,3.2
20220320,75110001,,,,,,3.0
20220408,75110001,,,,,,0.4
20200426,75110001,,,,,,4.9
20220410,75107005,,,,,,2.6
20200115,75107005,,,,,,2.1
20200318,75107005,,,,,,2.1
20221016,75110001,,,,,,1.9
20220414,75106001,,,,,,3.9
20200308,75107005,,,,,,1.4
20200612,75110001,,,,,,3.4
20221116,75116008,,11.8,,,,0.8
20211218,75110001,,,,,,0.9
20200805,75106001,,,,,,7.5
20220117,75116008,,7.8,,,,0.4
20200824,75116008,,13.2,,,,3.9
20200702,75116008,,13.6,,,,4.4
20220203,75107005,,,,,,1.1
20210727,75110001,,,,,,2.3
20210813,75110001,,,,,,6.2
20210905,75110001,,,,,,4.9
20200228,75110001,,,,,,1.4
20201013,75106001,,,,,,1.6
20200616,75110001,,,,,,4.9
20211225,75114007,,,,,,0.3
20220723,75116008,,19.3,,,,4.5
20211016,75114007,,,,,,2.2
20210901,75107005,,,,,,4.6
20220523,75114007,,,,,,2.4
20201210,75107005,,,,,,0.8
20210906,75114007,,,,,,5.8
20201130,75116008,,6.6,,,,0.9
20211117,75114007,,,,,,0.9
20211018,75107005,,,,,,1.0
20220623,75114007,,,,,,6.9
20200212,75107005,,,,,,1.7
20220902,75114007,,,,,,3.8
20220222,75106001,,,,,,1.6
20210910,75107005,,,,,,3.6
20220826,75107005,,,,,,5.2
20200403,75116008,,8.8,,,,2.2
20200411,75110001,,,,,,5.4
20220517,75106001,,,,,,7.0
20211013,75116008,,9.1,,,,1.5
20220118,75107005,,,,,,0.7
20210316,75110001,,,,,,1.1
20200917,75106001,,,,,,6.3
20220716,75116008,,12.3,,,,7.1
20200519,75107005,,,,,,4.6
20200427,75110001,,,,,,4.8
20200719,75116008,,13.9,,,,6.0
20211123,75116008,,30.9,,,,0.1
20210625,75107005,,,,,,2.4
20211211,75106001,,,,,,1.1
20200415,75106001,,,,,,5.0
20210401,75114007,,,,,,4.5
20201029,75106001,,,,,,1.4
20210824,75106001,,,,,,5.7
20220914,75107005,,,,,,4.1
20220326,75110001,,,,,,5.0
20220219,75116008,,7.0,,,,2.0
20220301,75110001,,,,,,2.7
20200324,75107005,,,,,,4.2
20211016,75110001,,,,,,2.2
20210113,75114007,,,,,,0.4
20220814,75106001,,,,,,5.5
20200506,75110001,,,,,,5.8
20210707,75114007,,,,,,5.3
20220416,75106001,,,,,,4.7
20220812,75106001,,,,,,9.0
20220927,75116008,,12.3,,,,1.7
20220621,75107005,,,,,,5.7
20200314,75107005,,,,,,1.6
20200512,75116008,,6.5,,,,4.3
20211123,75114007,,,,,,0.0
20210920,75106001,,,,,,2.1
20200630,75110001,,,,,,4.8
20200326,75107005,,,,,,3.9
20220905,75116008,,17.3,,,,5.0
20220306,75106001,,,,,,2.3
20201107,75110001,,,,,,1.3
20210505,75107005,,,,,,3.2
20211207,75116008,,8.3,,,,0.6
20211024,75110001,,,,,,1.7
20200213,75106001,,,,,,2.3
20210302,75110001,,,,,,1.9
20210225,75116008,,10.2,,,,1.6
20200504,75110001,,,,,,3.8
20220822,75114007,,,,,,4.8
20220319,75107005,,,,,,4.3
20210610,75106001,,,,,,6.9
20200713,75107005,,,,,,7.0
20221113,75107005,,,,,,1.0
20201202,75110001,,,,,,1.1
20220113,75107005,,,,,,0.5
20210804,75106001,,,,,,3.4
20220423,75116008,,10.9,,,,4.0
20200524,75107005,,,,,,4.2
20200925,75116008,,9.6,,,,2.8
20200321,75116008,,8.0,,,,1.5
20211228,75114007,,,,,,2.0
20220625,75110001,,,,,,3.1
20200526,75116008,,12.0,,,,5.9
20201119,75110001,,,,,,1.8
20200702,75114007,,,,,,4.9
20220207,75106001,,,,,,2.2
20200426,75107005,,,,,,4.5
20211129,75114007,,,,,,1.2
20200806,75106001,,,,,,7.9
20210929,75116008,,11.4,,,,2.9
20210813,75116008,,16.7,,,,5.4
20211105,75110001,,,,,,1.6
20200902,75106001,,,,,,4.1
20220111,75116008,,6.4,,,,0.5
20210416,75114007,,,,,,2.8
20220515,75116008,,13.8,,,,6.5
20211014,75116008,,9.1,,,,1.4
20200830,75116008,,15.0,,,,3.0
20210308,75106001,,,,,,1.8
20220616,75116008,,13.5,,,,7.4
20211008,75107005,,,,,,2.1
20211014,75114007,,,,,,1.8
20210111,75107005,,,,,,0.4
20201230,75106001,,,,,,0.8
20200602,75110001,,,,,,7.6
20210314,75110001,,,,,,2.1
20210311,75110001,,,,,,2.6
20221212,75114007,,,,,,0.6
20210311,75116008,,9.5,,,,2.4
20201117,75106001,,,,,,1.7
20211025,75106001,,,,,,1.0
20210725,75116008,,18.3,,,,3.8
20221002,75110001,,,,,,2.2
20220115,75110001,,,,,,1.0
20200517,75110001,,,,,,4.8
20210128,75114007,,,,,,0.8
20220523,75107005,,,,,,2.0
20200922,75110001,,,,,,4.2
20220710,75114007,,,,,,7.2
20221026,75106001,,,,,,2.5
20201130,75110001,,,,,,1.1
20221221,75107005,,,,,,0.4
20200412,75107005,,,,,,4.2
20200321,75110001,,,,,,1.5
20200910,75110001,,,,,,4.1
20221017,75110001,,,,,,1.1
20220225,75116008,,6.5,,,,2.0
20200130,75107005,,,,,,0.2
20211023,75110001,,,,,,2.3
20220916,75110001,,,,,,3.9
20210207,75110001,,,,,,0.7
20210506,75116008,,9.3,,,,1.3
20200824,75110001,,,,,,4.4
20201026,75110001,,,,,,2.0
20210802,75110001,,,,,,4.2
20210406,75116008,,4.6,,,,2.1
20200213,75116008,,8.5,,,,2.0
20210808,75107005,,,,,,4.9
20201202,75106001,,,,,,1.1
