date,dep,polluant,valeur_mean,valeur_mediane,nb_station_pollution
2019-01-10,92,O3,24.195833333333336,25.1,24
2019-01-10,92,PM10,25.25714285714286,22.200000000000003,14
2019-01-10,92,PM25,10.37857142857143,10.35,14
2019-01-10,93,NO2,51.912499999999994,51.35,168
2019-01-10,93,O3,18.60625,18.75,48
2019-01-10,93,PM10,28.209374999999998,23.3,96
2019-01-10,93,PM25,10.61875,8.8,48
2019-01-10,94,NO2,50.00425531914893,52.5,47
2019-01-10,94,O3,21.976595744680854,21.7,47
2019-01-10,94,PM10,21.652173913043477,21.450000000000003,46
2019-01-10,94,PM25,9.558333333333334,9.7,12
2019-01-10,95,NO2,28.08125,28.15,48
2019-01-10,95,O3,44.8625,50.35,72
2019-01-10,95,PM10,19.322916666666668,18.75,48
2019-01-10,95,PM25,9.700000000000001,8.45,48
2019-01-11,75,NO2,54.84305555555556,54.15,360
2019-01-11,75,O3,21.179166666666667,17.25,96
2019-01-11,75,PM10,26.105208333333334,25.15,192
2019-01-11,75,PM25,18.314285714285713,17.9,70
2019-01-11,77,NO2,50.421875,49.25,96
2019-01-11,77,O3,15.797435897435896,9.5,117
2019-01-11,77,PM10,29.835714285714285,27.95,70
2019-01-11,77,PM25,18.539583333333333,17.1,48
2019-01-11,78,NO2,28.688235294117646,27.6,68
2019-01-11,78,O3,21.314583333333335,20.450000000000003,96
2019-01-11,78,PM10,18.991666666666667,19.05,24
2019-01-11,78,PM25,15.594736842105263,14.8,19
2019-01-11,91,NO2,65.99583333333334,62.599999999999994,72
2019-01-11,91,O3,15.004166666666668,14.8,48
2019-01-11,91,PM10,19.608695652173914,19.8,23
2019-01-11,91,PM25,14.776190476190477,14.2,21
2019-01-11,92,NO2,48.622950819672134,49.4,61
2019-01-11,92,O3,13.308333333333332,8.95,24
2019-01-11,93,NO2,59.016666666666666,57.5,168
2019-01-11,93,O3,9.033333333333333,7.1,48
2019-01-11,93,PM10,26.99042553191489,23.700000000000003,94
2019-01-11,93,PM25,18.32127659574468,16.7,47
2019-01-11,94,NO2,56.9625,58.3,48
2019-01-11,94,O3,8.987499999999999,5.4,48
2019-01-11,94,PM10,19.435416666666665,20.8,48
2019-01-11,94,PM25,14.836363636363636,15.399999999999999,22
2019-01-11,95,NO2,38.800000000000004,40.8,48
2019-01-11,95,O3,33.30972222222223,33.099999999999994,72
2019-01-11,95,PM10,17.410416666666666,17.05,48
2019-01-11,95,PM25,14.479166666666666,13.850000000000001,48
2019-01-12,75,NO2,37.484722222222224,33.650000000000006,360
2019-01-12,75,O3,37.56458333333333,35.15,96
2019-01-12,75,PM10,19.344270833333333,17.55,192
2019-01-12,75,PM25,13.779411764705882,13.6,68
2019-01-12,77,NO2,27.00208333333333,27.299999999999997,96
2019-01-12,77,O3,32.748333333333335,34.849999999999994,120
2019-01-12,77,PM10,18.783333333333335,19.049999999999997,72
2019-01-12,77,PM25,12.252083333333333,10.75,48
2019-01-12,78,NO2,13.350000000000001,13.8,72
2019-01-12,78,O3,42.97708333333333,44.35,96
2019-01-12,78,PM10,15.575000000000001,11.3,24
2019-01-12,78,PM25,11.765,10.05,20
2019-01-12,91,NO2,36.02222222222222,30.55,72
2019-01-12,91,O3,40.233333333333334,41.0,48
2019-01-12,91,PM10,13.05909090909091,11.85,22
2019-01-12,91,PM25,8.677272727272728,8.0,22
2019-01-12,92,NO2,26.831944444444446,25.95,72
