num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20221225,0,1,8.7,1,543,9,14.5,1,1426,9,11.5,1,11.6,1,5.8,1,7,9,,,0,9,3.4,1,,,5.8,1,190,9,2151,9,10,1,170,1,1128,9,,,,,,,9,9,,,1128,9,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20220517,5.1,1,15,1,412,9,28.7,1,1610,9,22.7,1,21.9,1,13.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20210302,0,1,-2.2,1,605,9,18.7,1,1449,9,7.3,1,8.3,1,20.9,1,-4.6,9,,,374,9,0.3,1,,,1.5,1,170,1,1028,9,3.6,1,140,1,1139,9,,,,,,,3.5,9,,,1139,9,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20210723,0,1,17.9,1,339,9,29.8,1,1636,9,24.3,1,23.9,1,11.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91405002,91405002,MILLY-LA-FORET,48.382167,2.431833,109,20200513,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91200002,91200002,DOURDAN,48.526167,1.993,116,20221229,0,1,8,1,1751,9,11.6,1,1309,9,9.2,1,9.8,1,3.6,1,5.9,9,,,0,9,3.4,1,,,5.4,1,260,1,303,9,13.8,1,180,1,21,9,,,,,,,12.9,9,,,21,9,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20210103,0.4,1,0.5,1,2356,9,4.2,1,1332,9,2.5,1,2.4,1,3.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91027002,91027002,ORLY,48.718,2.397,86,20200129,0,1,4.8,1,2246,9,9.8,1,1456,9,6.6,1,7.3,1,5,1,3.5,9,,,0,9,4.6,1,,,8,1,250,1,1327,9,11.7,1,280,1,1101,9,,,,,,,11.2,1,,,1110,9,0,9
91200002,91200002,DOURDAN,48.526167,1.993,116,20201221,11.4,1,7.6,1,2046,9,13.4,1,2310,9,10.4,1,10.5,1,5.8,1,5.7,9,,,0,9,3.2,1,,,4.7,1,230,1,1451,9,11.3,1,150,1,827,9,,,,,,,10.3,9,,,827,9,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20210222,0,1,5,1,435,9,16.4,1,1404,9,11.3,1,10.7,1,11.4,1,2.6,9,,,0,9,0.9,1,,,3.6,1,160,9,2131,9,4.9,1,180,1,1204,9,,,,,,,4.7,9,,,1210,9,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20200926,3.6,1,7.7,1,447,9,15.5,1,1308,9,11.2,1,11.6,1,7.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91027002,91027002,ORLY,48.718,2.397,86,20210517,3.6,1,9.8,1,2314,9,16.4,1,1620,9,12.1,1,13.1,1,6.6,1,8.7,9,,,0,9,5.1,1,,,8.9,1,250,1,935,9,14.6,1,250,1,929,9,,,,,,,13.7,1,,,929,9,150,9
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20201114,0,1,7.6,1,404,9,16.9,1,1243,9,11.9,1,12.3,1,9.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20220929,0.2,1,8.9,1,508,9,14.7,1,1119,9,10.8,1,11.8,1,5.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20200201,8.9,1,11.5,1,943,9,14.8,1,1418,9,12.6,1,13.2,1,3.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20200614,0.2,1,10.3,1,151,9,22.4,1,1459,9,15.9,1,16.4,1,12.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
